1482653012485	geckodriver	INFO	Listening on 127.0.0.1:39606
1482653014490	mozprofile::profile	INFO	Using profile path C:\Users\LZ\AppData\Local\Temp\rust_mozprofile.sJX6Vo0KAgND
1482653014504	geckodriver::marionette	INFO	Starting browser D:\Program Files (x86)\Mozilla Firefox\firefox.exe
1482653014536	geckodriver::marionette	INFO	Connecting to Marionette on localhost:39613
1482653014733	addons.manager	DEBUG	Application has been upgraded
1482653014827	addons.manager	DEBUG	Loaded provider scope for resource://gre/modules/addons/XPIProvider.jsm: ["XPIProvider"]
1482653014828	addons.manager	DEBUG	Loaded provider scope for resource://gre/modules/LightweightThemeManager.jsm: ["LightweightThemeManager"]
1482653014832	addons.manager	DEBUG	Loaded provider scope for resource://gre/modules/addons/GMPProvider.jsm
1482653014833	addons.manager	DEBUG	Loaded provider scope for resource://gre/modules/addons/PluginProvider.jsm
1482653014834	addons.manager	DEBUG	Starting provider: XPIProvider
1482653014834	addons.xpi	DEBUG	startup
1482653014835	addons.xpi	INFO	Mapping closeproxyauth.vaka@gmail.com to C:\Users\LZ\AppData\Local\Temp\rust_mozprofile.sJX6Vo0KAgND\extensions\closeproxyauth.vaka@gmail.com
1482653014835	addons.xpi	INFO	SystemAddonInstallLocation directory is missing
1482653014835	addons.xpi	INFO	Mapping aushelper@mozilla.org to D:\Program Files (x86)\Mozilla Firefox\browser\features\aushelper@mozilla.org.xpi
1482653014836	addons.xpi	INFO	Mapping e10srollout@mozilla.org to D:\Program Files (x86)\Mozilla Firefox\browser\features\e10srollout@mozilla.org.xpi
1482653014836	addons.xpi	INFO	Mapping firefox@getpocket.com to D:\Program Files (x86)\Mozilla Firefox\browser\features\firefox@getpocket.com.xpi
1482653014836	addons.xpi	INFO	Mapping webcompat@mozilla.org to D:\Program Files (x86)\Mozilla Firefox\browser\features\webcompat@mozilla.org.xpi
1482653014837	addons.xpi	INFO	Mapping {972ce4c6-7e08-4474-a285-3208198ce6fd} to D:\Program Files (x86)\Mozilla Firefox\browser\extensions\{972ce4c6-7e08-4474-a285-3208198ce6fd}.xpi
1482653014837	addons.xpi	DEBUG	checkForChanges
1482653014837	addons.xpi	DEBUG	Loaded add-on state from prefs: {}
1482653014838	addons.xpi	DEBUG	New add-on closeproxyauth.vaka@gmail.com in app-profile
1482653014838	addons.xpi	DEBUG	getModTime: Recursive scan of closeproxyauth.vaka@gmail.com
1482653014841	addons.xpi	DEBUG	New add-on aushelper@mozilla.org in app-system-defaults
1482653014841	addons.xpi	DEBUG	getModTime: Recursive scan of aushelper@mozilla.org
1482653014841	addons.xpi	DEBUG	New add-on e10srollout@mozilla.org in app-system-defaults
1482653014841	addons.xpi	DEBUG	getModTime: Recursive scan of e10srollout@mozilla.org
1482653014842	addons.xpi	DEBUG	New add-on firefox@getpocket.com in app-system-defaults
1482653014842	addons.xpi	DEBUG	getModTime: Recursive scan of firefox@getpocket.com
1482653014842	addons.xpi	DEBUG	New add-on webcompat@mozilla.org in app-system-defaults
